Vernier Format 2
Bandlücke-Si.cmbl 07.09.2016 11:35:41 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

92	-3,197620333	0,262515	0,297924	-92,1345160031	-13,4477289701
92,5	-2,936808245	0,30525	0,307692	-84,6264915566	-14,6408054642
93	-2,610258684	0,328449	0,299145	-75,2236219256	-16,4708899716
93,5	-2,15383753	0,340659	0,324786	-62,0771229535	-19,9590435421
94	-1,827287969	0,361416	0,35409	-52,6689065496	-23,5243159801
94,5	-1,370332364	0,448107	0,559219	-39,5007590512	-31,366485854
95	-1,044317254	1,23565	2,07692	-30,1043557444	-41,1568349284
95,5	-0,783505166	5	5	-22,5865167316	-54,8557360448
96	-0,261346539	5	5	-7,53418323039	-164,450473543
96,5	0	5	5	0	 
97	0,260812088	5	4,85226	7,51877600925	164,787459884
97,5	0,848173737	5	3,88889	24,4506207545	50,6735600884
98	1,108985825	2,10867	0,937729	31,9683196214	38,7571200074
98,5	1,631144452	0,897436	0,52381	47,0169754944	26,3521842265
99	1,892490991	0,446886	0,327228	54,5476166814	22,7140996322
99,5	2,348912145	0,339438	0,301587	67,696473376	18,3022827957
100	2,675461706	0,304029	0,278388	77,1013229867	16,0697631636
100,5	2,936273794	0,26862	0,260073	84,6111044071	14,643468002
101	3,458432421	0,261294	0,25641	99,640631336	12,4346863663
101,5	3,719244509	0,224664	0,238095	107,144682022	11,563803043
102	3,980591048	0,199023	0,224664	114,661882786	10,80568337
102,5	4,502749675	0,214896	0,206349	129,673611195	9,55475820089
103	4,828764785	0,201465	0,216117	139,040956075	8,91104344343
103,5	5,024373851	0,192918	0,223443	144,659221615	8,56495691161
104	5,6117355	0,199023	0,214896	161,51897346	7,67092542416
104,5	5,873082039	0,197802	0,211233	169,015368025	7,33069432962
105	6,133894127	0,157509	0,189255	176,492926901	7,0201113538
105,5	6,656052754	0,142857	0,18315	191,452222029	6,47158850843
106	6,916864842	0,180708	0,190476	198,918336801	6,22868670595
106,5	7,439023469	0,168498	0,201465	213,853324109	5,7936906296
107	7,76557303	0,14652	0,189255	223,184475269	5,55146140208
107,5	7,961182096	0,113553	0,169719	228,770550204	5,41590689403
108	8,548543745	0,108669	0,159951	245,527752288	5,04627272663
108,5	8,744152811	0,135531	0,175824	251,102763203	4,93423482958
109	9,070702372	0,107448	0,185592	260,403126844	4,7580073827
109,5	9,592326548	0,113553	0,184371	275,241682125	4,50149843017
110	9,853673087	0,130647	0,177045	282,667661808	4,38323928557
110,5	10,114485175	0,117216	0,174603	290,072592405	4,27134459595
111	10,701846824	0,0708181	0,161172	306,726615937	4,0394277367
111,5	10,962658912	0,0732601	0,141636	314,111438626	3,94445998344
112	11,289208473	0,105006	0,144078	323,348405517	3,83178014446
112,5	11,746164078	0,0842491	0,162393	336,256412716	3,68468809261
113	12,006976166	0,0830281	0,163614	343,614255045	3,60578754172
113,5	12,463931771	0,0879121	0,148962	356,488299241	3,47556989286
114	12,855149903	0,0989011	0,167277	367,492302572	3,37149918876
114,5	13,05129342	0,0818071	0,178266	373,002920709	3,32168980781
115	13,638655069	0,125763	0,164835	389,478343235	3,18117816182
115,5	13,899467157	0,0842491	0,155067	396,781070664	3,12262880366
116	14,486828806	0,0964591	0,166056	413,19683415	2,99857089309
116,5	14,682437872	0,043956	0,14652	418,65422275	2,95948286837
